,nazwa,miasto,firma,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,języki_rosyjski,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_możesz_kupić_tutaj_escape_tales,podstawowe_półmrok_w_pokoju,podstawowe_nie_dla_epileptyków,podstawowe_bardzo_wąskie_przejścia,bezpieczeństwo_dezynfekcja_lampami_uvc,podstawowe_gra_bez_aktora,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,podstawowe_pokój_eliminacyjny_poland_escape,inne_prawdziwy_mistrz_gry,bezpieczeństwo_przycisk_bezpieczeństwa,języki_słowacki,języki_czeski,podstawowe_nie_dla_osób_z_chorobami_serca,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,podstawowe_od_18_lat,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_przyjazny_niepełnosprawnym,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy,min_liczba_graczy,max_liczba_graczy
86,Tożsamość Mordercy,Legnica,LockER,90 ,Kryminalny,śr. zaawansowani,8 ,86,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,9.9,10.0,10.0,Średni,2,6 
87,Murder House,Poznań,Continuum,60 ,Horror,początkujący,251 ,88,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,9.4,9.8,9.7,Trudny,1,4 
88,Faraon,Poznań,Escapelandia,75 ,Przygodowy,doświadczony,170 ,89,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,9.4,9.9,9.6,Trudny,2,5 
89,Prolog,Łódź,Forest Escape,120 ,Przygodowy,śr. zaawansowani,265 ,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,9.5,9.6,9.9,Trudny,2,6 
90,Nautilus: Podmorska Przygoda,Bydgoszcz,Wyjście Awaryjne,60 ,Przygodowy,śr. zaawansowani,409 ,91,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.3,9.9,9.9,Trudny,2,5 
91,Skarbiec,Bydgoszcz,Wyjście Awaryjne,60 ,Kryminalny,śr. zaawansowani,198 ,92,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.5,10.0,9.6,Średni,2,5 
92,Wiedźma II: Lochy,Radomsko,Zagadkowo,75 ,Horror,śr. zaawansowani,27 ,93,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,9.8,10.0,9.9,Trudny,2,6 
93,Grobowiec Tutanchamona,Grudziądz,Find The Key,60 ,Przygodowy,początkujący,10 ,94,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,9.7,9.9,9.8,Średni,2,5 
94,Pogrzeb Arystokraty,Wrocław,Secret Room & Brain Code,90 ,Fabularny,początkujący,184 ,95,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,9.3,10.0,9.7,Średni,2,6 
95,Królowa Wampirów,Częstochowa,Dom Tajemnic,60 ,Thriller,śr. zaawansowani,19 ,96,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,9.6,9.9,9.9,Trudny,2,5 
96,Wrota Czasu - Egipt,Gliwice,TickTack,60 ,Przygodowy,śr. zaawansowani,350 ,97,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,8.9,9.9,9.3,Trudny,2,5 
97,wyZYSKpol,Bielsko-Biała,Konsorcjum Czasu,90 ,Przygodowy,śr. zaawansowani,48 ,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,9.4,9.9,9.6,Trudny,2,6 
98,Plugawy HOTel,Kraków,Lock House,60 ,Thriller,śr. zaawansowani,133 ,99,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,9.5,10.0,9.8,Trudny,2,5 
99,Klątwa zarazy,Tczew,Escape Room Tczew,60 ,Przygodowy,śr. zaawansowani,6 ,100,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,9.5,9.9,9.9,Średni,2,6 
100,Nautilus: Podmorska przygoda,Warszawa,Wyjście Awaryjne,60 ,Przygodowy,śr. zaawansowani,208 ,101,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,9.0,9.6,9.6,Trudny,2,5 
101,Łódź Podwodna,Zakopane,LetMeOut,75 ,Przygodowy,doświadczony,37 ,102,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,9.2,9.7,9.4,Trudny,2,6 
102,Osadzeni w Bunkrze,Warszawa,8 Gates Escape Room,60 ,Przygodowy,doświadczony,173 ,104,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,9.0,9.8,9.5,Trudny,2,6 
103,Spisek Kardynała,Warszawa,Room Escape Warszawa,60 ,Historyczny,doświadczony,95 ,105,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.0,9.5,9.2,Trudny,2,5 
104,Zew Przedwiecznych,Poznań,The Bunkier Escape Rooms,90 ,Przygodowy,śr. zaawansowani,30 ,103,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,8.9,9.5,9.7,Trudny,2,4 
105,Olimp,Warszawa,Room Escape Warszawa,60 ,Historyczny,śr. zaawansowani,115 ,106,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.0,9.6,9.3,Średni,2,5 
106,Ale Cyrk!,Gdańsk,Escape Time,75 ,Abstrakcyjny,śr. zaawansowani,181 ,108,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,9.2,9.8,9.4,Średni,2,6 
107,Schron,Bielsko-Biała,Tajemnicza Piwnica - ER Group sp. z o. o.,70 ,Abstrakcyjny,śr. zaawansowani,5 ,107,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,9.7,10.0,10.0,Średni,2,4 
108,Krwawa Rzeźnia,Gdańsk,Questrooms,60 ,Horror,śr. zaawansowani,177 ,109,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,9.0,9.4,9.1,Trudny,2,5 
109,Porwanie w szkole magii,Szczyrk,Chata Tajemnic,60 ,Fantasy,śr. zaawansowani,25 ,111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,9.0,9.9,9.6,Średni,2,5 
110,Jumanji,Wrocław,HURRY UP,60 ,Przygodowy,doświadczony,362 ,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,9.4,9.8,9.6,Trudny,2,5 
111,Dzicy Są,Wrocław,In&Out,70 ,Przygodowy,śr. zaawansowani,60 ,112,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,9.0,9.8,9.7,Średni,2,4 
112,Tajemnica Leśnej Chaty 2.0,Białystok,Unlocked - Escape Room,90 ,Thriller,eksperci,10 ,113,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,9.6,10.0,9.8,Trudny,2,5 
113,Tajemnica świątyni Majów,Warszawa,Mysterious Room,60 ,Przygodowy,doświadczony,55 ,114,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,9.1,10.0,9.7,Trudny,2,5 
114,Jaskinia Hazardu,Poznań,ESCAPE ARENA,75 ,Kryminalny,śr. zaawansowani,131 ,115,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,9.1,9.9,9.3,Trudny,2,5 
115,Underworld,Wrocław,Secret Room & Brain Code,120 ,Przygodowy,śr. zaawansowani,100 ,116,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,8.9,9.6,9.2,Trudny,3,6 
116,Tajemniczy las,Poznań,Escapelandia,60 ,Przygodowy,śr. zaawansowani,306 ,117,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,9.0,9.7,9.3,Średni,2,5 
117,Łowcy snów,Bielsko-Biała,HURRY UP,60 ,Abstrakcyjny,śr. zaawansowani,104 ,119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,9.1,9.4,9.2,Trudny,2,5 
118,Zbrodnia na płótnie,Warszawa,Black Cat Escape Room,60 ,Fabularny,śr. zaawansowani,387 ,118,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,8.8,9.8,9.4,Trudny,2,7 
119,Chata górala,Szczyrk,Chata Tajemnic,60 ,Thriller,śr. zaawansowani,16 ,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,8.9,9.9,9.5,Trudny,2,5 
120,Komnata Wiedźmy,Zakopane,LetMeOut,75 ,Fantasy,śr. zaawansowani,32 ,121,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,9.1,9.4,9.5,Trudny,2,6 
121,Piracka Tawerna,Bydgoszcz,Wyjście Awaryjne,50 ,Przygodowy,śr. zaawansowani,11 ,122,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,9.4,9.6,9.9,Trudny,1,3 
122,Statek kosmiczny 2.0,Kraków,Secreto,60 ,Przygodowy,śr. zaawansowani,57 ,123,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,9.0,9.7,9.5,Średni,2,5 
123,Upiorny Teatrzyk Lalek,Katowice,Next Room Katowice,65 ,Thriller,śr. zaawansowani,34 ,125,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,9.4,9.8,9.7,Średni,2,6 
124,Bydgoska Gra Miejska,Bydgoszcz,Wyjście Awaryjne,90 ,Przygodowy,śr. zaawansowani,18 ,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9.3,9.8,9.8,Łatwy,2,4 
125,Sekret Umysłu,Łódź,Alfa Fun,75 ,Thriller,śr. zaawansowani,19 ,127,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,9.2,10.0,9.6,Średni,2,5 
126,Klątwa starej wiedźmy,Bydgoszcz,Park17 Sp. z o.o.,60 ,Przygodowy,początkujący,48 ,126,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,9.0,9.8,9.6,Łatwy,2,4 
127,Szlak Nieumarłych,Gliwice,Open The Lock,80 ,Thriller,doświadczony,38 ,128,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,9.1,9.5,9.5,Trudny,2,6 
128,PRL 2- Dekonspiracja Gieńka,Toruń,Dom Kłódek,60 ,Fabularny,doświadczony,29 ,129,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,9.1,9.7,9.4,Trudny,2,6 
129,Zdrada w Breslau,Wrocław,Exit19.pl,75 ,Kryminalny,doświadczony,496 ,130,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,8.9,9.7,9.6,Trudny,2,7 
130,Escape DaVinci,Kraków,WydostanSie Escape Rooms,75 ,Przygodowy,śr. zaawansowani,283 ,131,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,9.2,9.8,9.8,Średni,2,5 
131,Postapo,Łódź,Forest Escape,120 ,Przygodowy,śr. zaawansowani,110 ,132,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,9.5,9.7,9.7,Trudny,2,6 
132,Świątynia Zagłady,Gliwice,Open The Lock,80 ,Fabularny,doświadczony,72 ,133,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,8.9,9.2,9.3,Trudny,2,6 
133,Nieoczekiwana zmiana trasy,Warszawa,Escape Service,60 ,Przygodowy,śr. zaawansowani,11 ,134,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,9.6,10.0,10.0,Trudny,2,15 
134,Ucieczka z więzienia,Gdańsk,Questrooms,60 ,Kryminalny,doświadczony,310 ,135,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,9.4,9.6,9.7,Trudny,5,8 
135,Czarnobyl – ostatnia godzina,Sopot,Questrooms,60 ,Historyczny,początkujący,164 ,136,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,8.9,9.8,9.0,Średni,2,5 
136,El Profesor: Napad Prawie Doskonały,Zakopane,LetMeOut,90 ,Kryminalny,śr. zaawansowani,10 ,137,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,9.4,9.5,9.5,Trudny,2,6 
137,Komnata Czarnego Pana,Olsztyn,iESCAPE Olsztyn,60 ,Fantasy,początkujący,163 ,138,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,9.8,9.6,9.8,Średni,2,5 
138,Wioska Smerfów,Wrocław,HURRY UP,60 ,Przygodowy,śr. zaawansowani,164 ,139,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,9.0,9.9,9.7,Średni,2,4 
139,Klątwa Majów,Lublin,LetMeOut,60 ,Przygodowy,śr. zaawansowani,7 ,140,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,9.2,9.7,9.7,Średni,2,6 
140,W Krainie Czarów,Bydgoszcz,Park17 Sp. z o.o.,60 ,Przygodowy,początkujący,27 ,141,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,9.1,9.7,9.5,Łatwy,2,4 
141,Sekret Burmistrza,Katowice,Quest Cage Centrum,60 ,Fabularny,śr. zaawansowani,35 ,142,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,9.0,9.9,9.5,Średni,2,4 
142,Pętla czasu,Toruń,Dom Kłódek,60 ,Przygodowy,śr. zaawansowani,19 ,143,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,8.9,9.9,9.4,Średni,2,4 
143,El Cartel,Łódź,QUITZONE,120 ,Przygodowy,śr. zaawansowani,29 ,144,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,9.2,9.9,9.8,Trudny,2,6 
144,Koszmarna Willa - Tylko umarli nie kłamią,Toruń,OPEN THE DOOR,60 ,Thriller,doświadczony,15 ,145,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,9.0,9.8,8.9,Średni,2,6 
145,Wampir,Poznań,EXODUS,60 ,Horror,śr. zaawansowani,1 064 ,146,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,9.5,9.8,9.8,Trudny,2,6 
146,Tajemnica Alchemika,Kraków,Combinator Kraków,60 ,Historyczny,śr. zaawansowani,135 ,147,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,8.7,8.8,9.7,Średni,2,5 
147,5 Morderstw,Gdańsk,Questrooms,60 ,Kryminalny,śr. zaawansowani,242 ,148,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,9.1,9.9,9.2,Średni,2,2 
148,Chata Wiedźmy,Warszawa,Escape Room Majdańska 18 Warszawa,60 ,Przygodowy,śr. zaawansowani,365 ,150,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,8.9,9.5,9.6,Trudny,2,4 
149,Szaman,Poznań,EXODUS,60 ,Przygodowy,śr. zaawansowani,32 ,149,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,8.6,9.7,9.1,Średni,1,6 
150,Wybudzenie,Szczyrk,Chata Tajemnic,60 ,Fabularny,doświadczony,10 ,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8,10.0,9.4,Trudny,1,2 
151,Pokój hotelowy - miejsce zabójstwa,Warszawa,Escape Room Majdańska 18 Warszawa,75 ,Kryminalny,doświadczony,142 ,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,9.2,9.8,9.3,Trudny,2,4 
152,Sex Room,Warszawa,Black Cat Escape Room,60 ,Fabularny,początkujący,1 156 ,153,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,8.8,9.9,9.5,Średni,2,10 
153,Rozdział I: Szepty,Łódź,Forest Escape,120 ,Thriller,śr. zaawansowani,29 ,154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,9.6,9.8,9.9,Trudny,2,6 
154,Se7en,Szczecin,ESC Room,60 ,Thriller,doświadczony,160 ,156,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,9.6,9.9,9.9,Trudny,2,6 
155,Skarbówka - Tajemnicza Zbrodnia,Wrocław,Exit19.pl,70 ,Fabularny,śr. zaawansowani,137 ,155,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,9.2,9.8,9.6,Trudny,2,7 
156,Zdążyć przed patologiem,Sopot,Questrooms,60 ,Kryminalny,doświadczony,89 ,158,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,9.0,9.7,9.3,Trudny,2,5 
157,Prosektorium,Wrocław,Secret Room & Brain Code,90 ,Horror,początkujący,261 ,157,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,9.1,9.7,9.5,Średni,2,6 
158,Morderstwo w Orient Expressie,Chorzów,LOFTescape,60 ,Kryminalny,początkujący,272 ,159,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,8.9,9.8,9.6,Średni,2,5 
159,Sacramentum,Bydgoszcz,Fabryka Czasu,75 ,Horror,doświadczony,20 ,160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8.8,8.6,9.3,Trudny,2,5 
160,W gąszczu tajemnic,Katowice,Quest Cage Centrum,60 ,Fabularny,śr. zaawansowani,121 ,161,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,8.6,9.8,9.0,Trudny,2,4 
161,Magia i Miecz,Białystok,Unlocked - Escape Room,60 ,Fantasy,doświadczony,9 ,164,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,9.5,9.9,9.5,Trudny,2,5 
162,Cela nr 4,Warszawa,Wyjście Awaryjne,60 ,Kryminalny,śr. zaawansowani,285 ,162,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,9.1,9.4,9.4,Trudny,2,10 
163,Protokół C.H.I.M.E.R.A.,Kraków,Gamescape Kraków,65 ,Akcja,śr. zaawansowani,48 ,163,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,8.9,9.8,9.1,Średni,2,6 
164,Ostatni Egzorcyzm,Gdynia,WALKOUT,60 ,Thriller,śr. zaawansowani,14 ,166,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,9.6,9.8,9.8,Trudny,2,6 
165,The Moonshiner,Gdańsk,Zorkout Escape Rooms,75 ,Przygodowy,doświadczony,78 ,165,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,8.9,9.5,9.2,Trudny,2,6 
166,Skazani na śmierć,Bydgoszcz,Fabryka Czasu,60 ,Thriller,śr. zaawansowani,137 ,168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,9.0,9.8,9.3,Średni,3,5 
167,Cela śmierci,Wrocław,Trapped,60 ,Kryminalny,śr. zaawansowani,109 ,167,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,8.7,9.8,8.9,Średni,2,5 
168,Kryjówka Genialnego Wynalazcy,Chorzów,Strych,60 ,Fabularny,początkujący,166 ,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,10.0,9.3,Średni,2,5 
169,Krakowska Bestia,Kraków,Combinator Kraków,60 ,Historyczny,początkujący,439 ,170,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,8.3,9.0,9.1,Średni,2,5 
170,Rytuał - Historia prawdziwa,Sopot,Questrooms,60 ,Horror,śr. zaawansowani,211 ,171,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,9.2,9.9,9.5,Trudny,2,5 
171,Midnight Killer MK II,Wrocław,Piwnica Quest,70 ,Thriller,doświadczony,192 ,172,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,9.0,9.0,9.6,Trudny,3,5 
172,Statek Piratów,Kraków,Combinator Kraków,60 ,Przygodowy,doświadczony,389 ,173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,9.1,9.4,9.8,Trudny,2,5 
173,Jaskinia Bazyliszka,Częstochowa,Dom Tajemnic,60 ,Przygodowy,śr. zaawansowani,6 ,174,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,9.5,10.0,9.7,Trudny,2,5 
174,Sekret Profesora Lipnitzkiego,Kraków,Lock House,60 ,Thriller,śr. zaawansowani,329 ,175,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,9.3,9.9,9.8,Trudny,2,5 
175,Wiedźmowa Księga,Poznań,Find a Way,75 ,Przygodowy,śr. zaawansowani,25 ,176,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,8.8,9.1,9.2,Średni,2,5 
