,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,srednia_ocena,obsluga_ocena,klimat_ocena,trudnosc_wg_graczy,podstawowe1,podstawowe2,podstawowe3,podstawowe4,podstawowe5,podstawowe6,podstawowe7,podstawowe8,podstawowe9,podstawowe10,podstawowe11,podstawowe12,podstawowe13,podstawowe14,podstawowe15,podstawowe16,podstawowe17,podstawowe18,podstawowe19,podstawowe20,bezpieczeństwo1,bezpieczeństwo2,bezpieczeństwo3,bezpieczeństwo4,bezpieczeństwo5,bezpieczeństwo6,bezpieczeństwo7,bezpieczeństwo8,bezpieczeństwo9,bezpieczeństwo10,bezpieczeństwo11,bezpieczeństwo12,bezpieczeństwo13,jezyki1,jezyki2,jezyki3,jezyki4
106,Ale Cyrk!,Gdańsk,Escape Time,2-6 osób,75 minut,Abstrakcyjny,śr. zaawansowani,179 opinii,Polska: 108. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
107,Schron,Bielsko-Biała,Tajemnicza Piwnica - ER Group sp. z o. o.,2-4 osoby,70 minut,Abstrakcyjny,śr. zaawansowani,5 opinii,Polska: 107. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
108,Krwawa Rzeźnia,Gdańsk,Questrooms,2-5 osób,60 minut,Horror,śr. zaawansowani,176 opinii,Polska: 109. miejsce,NAN,NAN,NAN,NAN,Możliwość płatności kartą,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,angielski,polski,NAN,NAN
109,Porwanie w szkole magii,Szczyrk,Chata Tajemnic,2-5 osób,60 minut,Fantasy,śr. zaawansowani,25 opinii,Polska: 111. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
110,Jumanji,Wrocław,HURRY UP,2-5 osób,60 minut,Przygodowy,doświadczony,361 opinii,Polska: 110. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
111,Dzicy Są,Wrocław,In&Out,2-4 osoby,70 minut,Przygodowy,śr. zaawansowani,59 opinii,Polska: 113. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
112,Tajemnica Leśnej Chaty 2.0,Białystok,Unlocked - Escape Room,2-5 osób,90 minut,Thriller,eksperci,10 opinii,Polska: 112. miejsce,NAN,NAN,NAN,NAN,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
113,Tajemnica świątyni Majów,Warszawa,Mysterious Room,2-5 osób,60 minut,Przygodowy,doświadczony,55 opinii,Polska: 114. miejsce,9 .1,"Obsługa:
10/10","Klimat:
9,7/10","Trudność wg. graczy:
Trudny",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
114,Jaskinia Hazardu,Poznań,ESCAPE ARENA,2-5 osób,75 minut,Kryminalny,śr. zaawansowani,130 opinii,Polska: 115. miejsce,9 .1,"Obsługa:
9,9/10","Klimat:
9,3/10","Trudność wg. graczy:
Trudny",Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,NAN,angielski,polski,NAN,NAN
115,Underworld,Wrocław,Secret Room & Brain Code,3-6 osób,120 minut,Przygodowy,śr. zaawansowani,99 opinii,Polska: 116. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
116,Tajemniczy las,Poznań,Escapelandia,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,305 opinii,Polska: 117. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
117,Łowcy snów,Bielsko-Biała,HURRY UP,2-5 osób,60 minut,Abstrakcyjny,śr. zaawansowani,104 opinie,Polska: 119. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
118,Zbrodnia na płótnie,Warszawa,Black Cat Escape Room,2-7 osób,60 minut,Fabularny,śr. zaawansowani,387 opinii,Polska: 118. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Przyjazny zwierzętom,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,angielski,polski,rosyjski,NAN
119,Chata górala,Szczyrk,Chata Tajemnic,2-5 osób,60 minut,Thriller,śr. zaawansowani,16 opinii,Polska: 120. miejsce,NAN,NAN,NAN,NAN,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
120,Komnata Wiedźmy,Zakopane,LetMeOut,2-6 osób,75 minut,Fantasy,śr. zaawansowani,32 opinie,Polska: 121. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
121,Piracka Tawerna,Bydgoszcz,Wyjście Awaryjne,1-3 osoby,50 minut,Przygodowy,śr. zaawansowani,11 opinii,Polska: 122. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Gra bez aktora,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
122,Statek kosmiczny 2.0,Kraków,Secreto,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,57 opinii,Polska: 123. miejsce,NAN,NAN,NAN,NAN,Przyjazny zwierzętom,Gra bez aktora,Nie dla epileptyków,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
123,Upiorny Teatrzyk Lalek,Katowice,Next Room Katowice,2-6 osób,65 minut,Thriller,śr. zaawansowani,34 opinie,Polska: 124. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,polski,NAN,NAN,NAN
124,Bydgoska Gra Miejska,Bydgoszcz,Wyjście Awaryjne,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,18 opinii,Polska: 125. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
125,Sekret Umysłu,Łódź,Alfa Fun,2-5 osób,75 minut,Thriller,śr. zaawansowani,19 opinii,Polska: 126. miejsce,NAN,NAN,NAN,NAN,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,polski,NAN,NAN,NAN
126,Klątwa starej wiedźmy,Bydgoszcz,Park17 Sp. z o.o.,2-4 osoby,60 minut,Przygodowy,początkujący,48 opinii,Polska: 127. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
127,Szlak Nieumarłych,Gliwice,Open The Lock,2-6 osób,80 minut,Thriller,doświadczony,38 opinii,Polska: 128. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,polski,NAN,NAN,NAN
128,PRL 2- Dekonspiracja Gieńka,Toruń,Dom Kłódek,2-6 osób,60 minut,Fabularny,doświadczony,29 opinii,Polska: 129. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
129,Zdrada w Breslau,Wrocław,Exit19.pl,2-7 osób,75 minut,Kryminalny,doświadczony,495 opinii,Polska: 130. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
130,Escape DaVinci,Kraków,WydostanSie Escape Rooms,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,282 opinie,Polska: 131. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
131,Postapo,Łódź,Forest Escape,2-6 osób,120 minut,Przygodowy,śr. zaawansowani,109 opinii,Polska: 132. miejsce,NAN,NAN,NAN,NAN,Od 18 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
132,Świątynia Zagłady,Gliwice,Open The Lock,2-6 osób,80 minut,Fabularny,doświadczony,72 opinie,Polska: 133. miejsce,8 .9,"Obsługa:
9,2/10","Klimat:
9,3/10","Trudność wg. graczy:
Trudny",Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,angielski,polski,NAN,NAN
133,Nieoczekiwana zmiana trasy,Warszawa,Escape Service,2-15 osób,60 minut,Przygodowy,śr. zaawansowani,11 opinii,Polska: 134. miejsce,NAN,NAN,NAN,NAN,Przyjazny niepełnosprawnym,Możliwość płatności kartą,Od 18 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
134,Ucieczka z więzienia,Gdańsk,Questrooms,5-8 osób,60 minut,Kryminalny,doświadczony,309 opinii,Polska: 135. miejsce,9 .4,"Obsługa:
9,6/10","Klimat:
9,7/10","Trudność wg. graczy:
Trudny",Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Gra bez aktora,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,angielski,polski,NAN,NAN
135,Czarnobyl – ostatnia godzina,Sopot,Questrooms,2-5 osób,60 minut,Historyczny,początkujący,163 opinie,Polska: 136. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
136,El Profesor: Napad Prawie Doskonały,Zakopane,LetMeOut,2-6 osób,90 minut,Kryminalny,śr. zaawansowani,9 opinii,Polska: 137. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
137,Komnata Czarnego Pana,Olsztyn,iESCAPE Olsztyn,2-5 osób,60 minut,Fantasy,początkujący,162 opinie,Polska: 138. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
138,Wioska Smerfów,Wrocław,HURRY UP,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,163 opinie,Polska: 139. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
139,Klątwa Majów,Lublin,LetMeOut,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,7 opinii,Polska: 140. miejsce,9 .2,"Obsługa:
9,7/10","Klimat:
9,7/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
140,W Krainie Czarów,Bydgoszcz,Park17 Sp. z o.o.,2-4 osoby,60 minut,Przygodowy,początkujący,27 opinii,Polska: 141. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
141,Sekret Burmistrza,Katowice,Quest Cage Centrum,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,35 opinii,Polska: 142. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
142,Pętla czasu,Toruń,Dom Kłódek,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,19 opinii,Polska: 143. miejsce,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
143,El Cartel,Łódź,QUITZONE,2-6 osób,120 minut,Przygodowy,śr. zaawansowani,29 opinii,Polska: 144. miejsce,NAN,NAN,NAN,NAN,Od 16 lat,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
144,Koszmarna Willa - Tylko umarli nie kłamią,Toruń,OPEN THE DOOR,2-6 osób,60 minut,Thriller,doświadczony,15 opinii,Polska: 145. miejsce,NAN,NAN,NAN,NAN,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
145,Wampir,Poznań,EXODUS,2-6 osób,60 minut,Horror,śr. zaawansowani,1 062 opinie,Polska: 146. miejsce,9 .5,"Obsługa:
9,8/10","Klimat:
9,8/10","Trudność wg. graczy:
Trudny",Klimatyzowany,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
146,Tajemnica Alchemika,Kraków,Combinator Kraków,2-5 osób,60 minut,Historyczny,śr. zaawansowani,134 opinie,Polska: 147. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Pokój eliminacyjny Poland Escape,Od 16 lat,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
147,5 Morderstw,Gdańsk,Questrooms,2-2 osoby,60 minut,Kryminalny,śr. zaawansowani,241 opinii,Polska: 148. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
