,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,oceny,języki_rosyjski,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_możesz_kupić_tutaj_escape_tales,podstawowe_półmrok_w_pokoju,podstawowe_nie_dla_epileptyków,podstawowe_bardzo_wąskie_przejścia,bezpieczeństwo_dezynfekcja_lampami_uvc,podstawowe_gra_bez_aktora,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,podstawowe_pokój_eliminacyjny_poland_escape,inne_prawdziwy_mistrz_gry,bezpieczeństwo_przycisk_bezpieczeństwa,języki_słowacki,języki_czeski,podstawowe_nie_dla_osób_z_chorobami_serca,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,podstawowe_od_18_lat,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_przyjazny_niepełnosprawnym,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat
62,Odkrywcy,Swarzędz,Escape House,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,45 opinii,Polska: 63. miejsce,"9 .7
Obsługa:
10/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
45",0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1
63,Rosalie,Wrocław,Fox O'clock,2-4 osoby,75 minut,Thriller,doświadczony,18 opinii,Polska: 64. miejsce,"9 .2
Obsługa:
9,8/10
Klimat:
9,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
18",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64,Legenda Miecza,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,początkujący,450 opinii,Polska: 65. miejsce,"9 .6
Obsługa:
9,8/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
450",0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0
65,Złoto nazistów,Warszawa,Black Cat Escape Room,2-7 osób,60 minut,Przygodowy,śr. zaawansowani,982 opinie,Polska: 66. miejsce,"9 .2
Obsługa:
9,8/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
982",1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0
66,Saloon,Zabrze,Open The Lock,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,43 opinie,Polska: 68. miejsce,"9 .6
Obsługa:
10/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
43",0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
67,Bestie Peruna,Wrocław,Trap Jungle,2-4 osoby,100 minut,Fantasy,doświadczony,4 opinie,Polska: 67. miejsce,"9 .9
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
4",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1
68,Zamek Czarnego Kruka,Bytom,Can you escape?,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,64 opinie,Polska: 69. miejsce,"9 .4
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
64",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0
69,Primadonna,Poznań,Operator Zagadek,2-8 osób,75 minut,Przygodowy,śr. zaawansowani,80 opinii,Polska: 71. miejsce,"9 .6
Obsługa:
9,9/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
80",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0
70,Obłęd,Bydgoszcz,Break The Brain,3-7 osób,60 minut,Thriller,śr. zaawansowani,323 opinie,Polska: 72. miejsce,"9 .4
Obsługa:
9,8/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
323",0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1
71,Dom mordercy Remastered,Warszawa,Black Cat Escape Room,2-7 osób,70 minut,Thriller,śr. zaawansowani,1 467 opinii,Polska: 73. miejsce,"9 .1
Obsługa:
9,7/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
1467",0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0
72,Reaktor 404: powrót atomu,Katowice,Quest Cage,2-5 osób,60 minut,Fabularny,początkujący,309 opinii,Polska: 74. miejsce,"9 .2
Obsługa:
9,9/10
Klimat:
9,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
309",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
73,Jaś i Małgosia,Poznań,Escapelandia,2-4 osoby,60 minut,Fantasy,początkujący,39 opinii,Polska: 76. miejsce,"9 .3
Obsługa:
9,7/10
Klimat:
9,6/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
39",0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0
74,Duch,Poznań,EXODUS,2-6 osób,60 minut,Horror,śr. zaawansowani,56 opinii,Polska: 75. miejsce,"8 .8
Obsługa:
9,1/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
56",0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1
75,Piracka Skrzynia Umarlaka,Gdynia,Escape Me Gdynia,2-5 osób,60 minut,Fantasy,śr. zaawansowani,21 opinii,Polska: 78. miejsce,"9 .6
Obsługa:
10/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
21",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0
76,Sekretne Stowarzyszenie,Toruń,Bunkier51,2-7 osób,75 minut,Fabularny,śr. zaawansowani,21 opinii,Polska: 77. miejsce,"9 .7
Obsługa:
9,6/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
21",0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0
77,Kim jest Max Winckler?,Warszawa,Mysterious Room,2-5 osób,60 minut,Fabularny,doświadczony,86 opinii,Polska: 79. miejsce,"8 .9
Obsługa:
9,7/10
Klimat:
9,4/10
Trudność wg. graczy:
Trudny
Ilość opinii:
86",0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1
78,Licencja 00,Chorzów,LOFTescape,1-4 osoby,75 minut,Akcja,śr. zaawansowani,62 opinie,Polska: 80. miejsce,"9 .2
Obsługa:
9,9/10
Klimat:
9,4/10
Trudność wg. graczy:
Trudny
Ilość opinii:
62",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0
79,Piekło Hazardzisty,Katowice,Quest Cage,2-5 osób,70 minut,Fabularny,eksperci,84 opinie,Polska: 81. miejsce,"9 .3
Obsługa:
9,8/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
84",0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
80,Grota Mocy,Zabrze,Open The Lock,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,71 opinii,Polska: 82. miejsce,"9 .5
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
71",0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
81,Turniej Magiczny,Kraków,Lock House,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,56 opinii,Polska: 83. miejsce,"8 .9
Obsługa:
9,7/10
Klimat:
9,3/10
Trudność wg. graczy:
Średni
Ilość opinii:
56",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0
82,Klątwa Skarbu Majów,Wrocław,Exit19.pl,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,133 opinie,Polska: 84. miejsce,"9 .1
Obsługa:
9,7/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
133",0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
83,Krew wikingów,Tczew,Escape Room Tczew,2-6 osób,60 minut,Historyczny,doświadczony,23 opinie,Polska: 85. miejsce,"9 .5
Obsługa:
10/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
23",0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0
84,Duch Wulkanu - Człowieki w Kotle,Wrocław,Exit19.pl,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,76 opinii,Polska: 70. miejsce,"9 .1
Obsługa:
9,6/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
76",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0
85,Biały Wilk,Szczecin,ESC Room,3-8 osób,90 minut,Fantasy,doświadczony,30 opinii,Polska: 87. miejsce,"9 .4
Obsługa:
9,8/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
30",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0
86,Tożsamość Mordercy,Legnica,LockER,2-6 osób,90 minut,Kryminalny,śr. zaawansowani,8 opinii,Polska: 86. miejsce,"9 .9
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
8",0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
87,Murder House,Poznań,Continuum,1-4 osoby,60 minut,Horror,początkujący,251 opinii,Polska: 88. miejsce,"9 .4
Obsługa:
9,8/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
251",0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1
88,Faraon,Poznań,Escapelandia,2-5 osób,75 minut,Przygodowy,doświadczony,170 opinii,Polska: 89. miejsce,"9 .4
Obsługa:
9,9/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
170",0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0
89,Prolog,Łódź,Forest Escape,2-6 osób,120 minut,Przygodowy,śr. zaawansowani,265 opinii,Polska: 90. miejsce,"9 .5
Obsługa:
9,6/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0
90,Nautilus: Podmorska Przygoda,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,409 opinii,Polska: 91. miejsce,"9 .3
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
409",0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0
91,Skarbiec,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,198 opinii,Polska: 92. miejsce,"9 .5
Obsługa:
10/10
Klimat:
9,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
198",0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0
92,Wiedźma II: Lochy,Radomsko,Zagadkowo,2-6 osób,75 minut,Horror,śr. zaawansowani,27 opinii,Polska: 93. miejsce,"9 .8
Obsługa:
10/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
27",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0
93,Grobowiec Tutanchamona,Grudziądz,Find The Key,2-5 osób,60 minut,Przygodowy,początkujący,10 opinii,Polska: 94. miejsce,"9 .7
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
10",0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
94,Pogrzeb Arystokraty,Wrocław,Secret Room & Brain Code,2-6 osób,90 minut,Fabularny,początkujący,184 opinie,Polska: 95. miejsce,"9 .3
Obsługa:
10/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
184",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1
95,Królowa Wampirów,Częstochowa,Dom Tajemnic,2-5 osób,60 minut,Thriller,śr. zaawansowani,19 opinii,Polska: 96. miejsce,"9 .6
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
19",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0
96,Wrota Czasu - Egipt,Gliwice,TickTack,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,350 opinii,Polska: 97. miejsce,"8 .9
Obsługa:
9,9/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
350",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0
97,wyZYSKpol,Bielsko-Biała,Konsorcjum Czasu,2-6 osób,90 minut,Przygodowy,śr. zaawansowani,48 opinii,Polska: 98. miejsce,"9 .4
Obsługa:
9,9/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
98,Plugawy HOTel,Kraków,Lock House,2-5 osób,60 minut,Thriller,śr. zaawansowani,133 opinie,Polska: 99. miejsce,"9 .5
Obsługa:
10/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
133",0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1
99,Klątwa zarazy,Tczew,Escape Room Tczew,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,6 opinii,Polska: 100. miejsce,"9 .5
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
6",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0
100,Nautilus: Podmorska przygoda,Warszawa,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,208 opinii,Polska: 101. miejsce,"9 .0
Obsługa:
9,6/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
208",0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0
101,Łódź Podwodna,Zakopane,LetMeOut,2-6 osób,75 minut,Przygodowy,doświadczony,37 opinii,Polska: 102. miejsce,"9 .2
Obsługa:
9,7/10
Klimat:
9,4/10
Trudność wg. graczy:
Trudny
Ilość opinii:
37",0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
102,Osadzeni w Bunkrze,Warszawa,8 Gates Escape Room,2-6 osób,60 minut,Przygodowy,doświadczony,173 opinie,Polska: 104. miejsce,"9 .0
Obsługa:
9,8/10
Klimat:
9,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
173",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0
103,Spisek Kardynała,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Historyczny,doświadczony,95 opinii,Polska: 105. miejsce,"9 .0
Obsługa:
9,5/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
95",0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0
104,Zew Przedwiecznych,Poznań,The Bunkier Escape Rooms,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,30 opinii,Polska: 103. miejsce,"8 .9
Obsługa:
9,5/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
30",0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1
105,Olimp,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Historyczny,śr. zaawansowani,115 opinii,Polska: 106. miejsce,"9 .0
Obsługa:
9,6/10
Klimat:
9,3/10
Trudność wg. graczy:
Średni
Ilość opinii:
115",0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0
106,Ale Cyrk!,Gdańsk,Escape Time,2-6 osób,75 minut,Abstrakcyjny,śr. zaawansowani,181 opinii,Polska: 108. miejsce,"9 .2
Obsługa:
9,8/10
Klimat:
9,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
181",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
107,Schron,Bielsko-Biała,Tajemnicza Piwnica - ER Group sp. z o. o.,2-4 osoby,70 minut,Abstrakcyjny,śr. zaawansowani,5 opinii,Polska: 107. miejsce,"9 .7
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
5",0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0
108,Krwawa Rzeźnia,Gdańsk,Questrooms,2-5 osób,60 minut,Horror,śr. zaawansowani,177 opinii,Polska: 109. miejsce,"9 .0
Obsługa:
9,4/10
Klimat:
9,1/10
Trudność wg. graczy:
Trudny
Ilość opinii:
177",0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0
109,Porwanie w szkole magii,Szczyrk,Chata Tajemnic,2-5 osób,60 minut,Fantasy,śr. zaawansowani,25 opinii,Polska: 111. miejsce,"9 .0
Obsługa:
9,9/10
Klimat:
9,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
25",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0
110,Jumanji,Wrocław,HURRY UP,2-5 osób,60 minut,Przygodowy,doświadczony,362 opinie,Polska: 110. miejsce,"9 .4
Obsługa:
9,8/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
362",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
111,Dzicy Są,Wrocław,In&Out,2-4 osoby,70 minut,Przygodowy,śr. zaawansowani,60 opinii,Polska: 112. miejsce,"9 .0
Obsługa:
9,8/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
60",0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0
112,Tajemnica Leśnej Chaty 2.0,Białystok,Unlocked - Escape Room,2-5 osób,90 minut,Thriller,eksperci,10 opinii,Polska: 113. miejsce,"9 .6
Obsługa:
10/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
10",0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1
113,Tajemnica świątyni Majów,Warszawa,Mysterious Room,2-5 osób,60 minut,Przygodowy,doświadczony,55 opinii,Polska: 114. miejsce,"9 .1
Obsługa:
10/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
55",0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1
114,Jaskinia Hazardu,Poznań,ESCAPE ARENA,2-5 osób,75 minut,Kryminalny,śr. zaawansowani,131 opinii,Polska: 115. miejsce,"9 .1
Obsługa:
9,9/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
131",0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0
115,Underworld,Wrocław,Secret Room & Brain Code,3-6 osób,120 minut,Przygodowy,śr. zaawansowani,100 opinii,Polska: 116. miejsce,"8 .9
Obsługa:
9,6/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
100",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1
116,Tajemniczy las,Poznań,Escapelandia,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,306 opinii,Polska: 117. miejsce,"9 .0
Obsługa:
9,7/10
Klimat:
9,3/10
Trudność wg. graczy:
Średni
Ilość opinii:
306",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0
117,Łowcy snów,Bielsko-Biała,HURRY UP,2-5 osób,60 minut,Abstrakcyjny,śr. zaawansowani,104 opinie,Polska: 119. miejsce,"9 .1
Obsługa:
9,4/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
104",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0
118,Zbrodnia na płótnie,Warszawa,Black Cat Escape Room,2-7 osób,60 minut,Fabularny,śr. zaawansowani,387 opinii,Polska: 118. miejsce,"8 .8
Obsługa:
9,8/10
Klimat:
9,4/10
Trudność wg. graczy:
Trudny
Ilość opinii:
387",1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0
119,Chata górala,Szczyrk,Chata Tajemnic,2-5 osób,60 minut,Thriller,śr. zaawansowani,16 opinii,Polska: 120. miejsce,"8 .9
Obsługa:
9,9/10
Klimat:
9,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0
120,Komnata Wiedźmy,Zakopane,LetMeOut,2-6 osób,75 minut,Fantasy,śr. zaawansowani,32 opinie,Polska: 121. miejsce,"9 .1
Obsługa:
9,4/10
Klimat:
9,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
32",0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
121,Piracka Tawerna,Bydgoszcz,Wyjście Awaryjne,1-3 osoby,50 minut,Przygodowy,śr. zaawansowani,11 opinii,Polska: 122. miejsce,"9 .4
Obsługa:
9,6/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
11",0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0
122,Statek kosmiczny 2.0,Kraków,Secreto,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,57 opinii,Polska: 123. miejsce,"9 .0
Obsługa:
9,7/10
Klimat:
9,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
57",0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
123,Upiorny Teatrzyk Lalek,Katowice,Next Room Katowice,2-6 osób,65 minut,Thriller,śr. zaawansowani,34 opinie,Polska: 125. miejsce,"9 .4
Obsługa:
9,8/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
34",0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0
124,Bydgoska Gra Miejska,Bydgoszcz,Wyjście Awaryjne,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,18 opinii,Polska: 124. miejsce,"9 .3
Obsługa:
9,8/10
Klimat:
9,8/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
125,Sekret Umysłu,Łódź,Alfa Fun,2-5 osób,75 minut,Thriller,śr. zaawansowani,19 opinii,Polska: 127. miejsce,"9 .2
Obsługa:
10/10
Klimat:
9,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
19",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0
126,Klątwa starej wiedźmy,Bydgoszcz,Park17 Sp. z o.o.,2-4 osoby,60 minut,Przygodowy,początkujący,48 opinii,Polska: 126. miejsce,"9 .0
Obsługa:
9,8/10
Klimat:
9,6/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
48",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0
